,,,,,시간,00시,00시,01시,01시,02시,02시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,합계,합계
가로명,방면,순번(LV2),시작지점,종료지점,분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,0,5,0,4,0,0,0,0,0,0,0,0,0,14,0,14,0,16,0,18,0,18,0,19,0,18,0,16,0,16,0,18,0,18,0,16,0,16,0,16,0,19,0,17,0,16,0,16,0,313
가구거리,상행,1,가구삼거리,반구사거리,15분,0,5,0,0,0,0,0,0,0,0,0,3,0,14,0,16,0,17,0,18,0,16,0,16,0,17,0,18,0,19,0,16,0,17,0,18,0,18,0,18,0,16,0,16,0,18,0,14,0,311
가구거리,상행,1,가구삼거리,반구사거리,30분,0,5,0,0,0,0,0,0,0,0,0,6,0,15,0,18,0,18,0,16,0,18,0,18,0,17,0,16,0,16,0,18,0,16,0,16,0,17,0,17,0,18,0,18,0,17,0,12,0,313
가구거리,상행,1,가구삼거리,반구사거리,45분,0,4,0,0,0,0,0,0,0,0,0,14,0,16,0,16,0,16,0,17,0,18,0,17,0,18,0,18,0,18,0,17,0,18,0,18,0,18,0,18,0,20,0,18,0,20,0,8,0,324
가구거리,상행,1,가구삼거리,반구사거리,소계,0,19,0,4,0,0,0,0,0,0,0,22,0,60,0,64,0,66,0,68,0,70,0,70,0,71,0,68,0,69,0,69,0,70,0,68,0,68,0,69,0,74,0,70,0,72,0,51,0,1261
가구거리,상행,계,,,,0,19,0,4,0,0,0,0,0,0,0,22,0,60,0,64,0,66,0,68,0,70,0,70,0,71,0,68,0,69,0,69,0,70,0,68,0,68,0,69,0,74,0,70,0,72,0,51,0,1261
가구거리,하행,1,반구사거리,가구삼거리,00분,0,0,0,0,0,0,0,0,0,0,0,4,0,20,0,19,0,20,0,19,0,18,0,18,0,20,0,20,0,21,0,21,0,18,0,18,0,20,0,20,0,18,0,20,0,20,0,19,0,355
가구거리,하행,1,반구사거리,가구삼거리,15분,0,0,0,0,0,0,0,0,0,0,0,7,0,20,0,20,0,21,0,18,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,21,0,20,0,19,0,20,0,20,0,20,0,14,0,358
가구거리,하행,1,반구사거리,가구삼거리,30분,0,0,0,0,0,0,0,0,0,2,0,16,0,20,0,20,0,19,0,20,0,22,0,19,0,19,0,20,0,21,0,21,0,19,0,20,0,19,0,22,0,18,0,21,0,20,0,12,0,371
가구거리,하행,1,반구사거리,가구삼거리,45분,0,0,0,0,0,0,0,0,0,2,0,14,0,20,0,20,0,21,0,20,0,20,0,19,0,19,0,20,0,17,0,20,0,20,0,19,0,20,0,21,0,20,0,20,0,20,0,5,0,360
가구거리,하행,1,반구사거리,가구삼거리,소계,0,0,0,0,0,0,0,0,0,4,0,42,0,82,0,78,0,82,0,78,0,80,0,76,0,78,0,80,0,79,0,82,0,77,0,78,0,80,0,82,0,78,0,80,0,80,0,50,0,1444
가구거리,하행,계,,,,0,0,0,0,0,0,0,0,0,4,0,42,0,82,0,78,0,82,0,78,0,80,0,76,0,78,0,80,0,79,0,82,0,77,0,78,0,80,0,82,0,78,0,80,0,80,0,50,0,1444
가구거리,소계,,,,,0,19,0,4,0,0,0,0,0,4,0,64,0,142,0,142,0,148,0,146,0,150,0,147,0,149,0,148,0,148,0,150,0,146,0,146,0,148,0,150,0,152,0,150,0,151,0,100,0,2704
강남로,상행,1,태화R,번영교남교차로,00분,82,0,65,0,59,0,42,0,50,0,86,0,326,0,502,0,595,0,470,0,452,0,384,0,297,0,294,0,363,0,323,0,254,0,350,0,376,0,375,0,228,0,218,0,185,0,108,0,6488,0
