,,,,,기준시간,00시,00시,01시,01시,03시,03시,04시,04시,05시,05시,06시,06시,07시,07시,08시,08시,09시,09시,10시,10시,11시,11시,12시,12시,13시,13시,14시,14시,15시,15시,16시,16시,17시,17시,18시,18시,19시,19시,20시,20시,21시,21시,22시,22시,23시,23시,평균,평균
가로명,방면,순번(LV2),시작지점,종료지점,기준분,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
가구거리,상행,1,가구삼거리,반구사거리,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,13.2,-,26.0,-,18.6,-,17.6,-,16.7,-,14.4,-,11.6,-,18.2,-,13.7,-,14.0,-,14.7,-,14.2,-,18.9,-,15.7,-,16.8,-,20.5,-,18.4,-,22.4,�,13.3
가구거리,상행,1,가구삼거리,반구사거리,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,14.4,-,20.0,-,21.8,-,17.0,-,14.3,-,14.4,-,14.6,-,15.9,-,13.1,-,13.7,-,14.6,-,17.1,-,19.1,-,17.4,-,19.5,-,25.6,-,12.4,-,26.1,-,32.6,�,14.9
가구거리,상행,1,가구삼거리,반구사거리,30분,-,0.0,-,-,-,0.0,-,0.0,-,16.5,-,21.6,-,21.1,-,18.6,-,11.8,-,15.6,-,13.9,-,16.3,-,11.4,-,19.4,-,16.0,-,12.3,-,14.6,-,13.6,-,14.8,-,15.5,-,12.7,-,17.8,-,37.8,�,14.6
가구거리,상행,1,가구삼거리,반구사거리,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,14.3,-,15.2,-,18.6,-,15.9,-,14.4,-,14.7,-,13.2,-,16.8,-,15.5,-,14.5,-,14.8,-,13.7,-,9.3,-,15.2,-,15.8,-,25.2,-,16.4,-,21.7,-,23.3,�,13.4
가구거리,하행,1,반구사거리,가구삼거리,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,46.4,-,16.9,-,21.9,-,15.6,-,19.6,-,17.5,-,18.1,-,18.1,-,22.3,-,20.2,-,16.6,-,16.5,-,15.2,-,14.5,-,16.2,-,14.8,-,16.7,-,21.2,-,26.5,�,16.3
가구거리,하행,1,반구사거리,가구삼거리,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,30.1,-,18.0,-,14.2,-,16.1,-,17.2,-,19.9,-,22.9,-,17.4,-,15.2,-,17.3,-,17.6,-,18.8,-,15.1,-,16.5,-,17.2,-,19.8,-,17.6,-,20.3,-,23.7,�,15.4
가구거리,하행,1,반구사거리,가구삼거리,30분,-,0.0,-,-,-,0.0,-,48.1,-,28.0,-,15.3,-,22.4,-,14.3,-,18.5,-,17.0,-,15.3,-,20.9,-,22.9,-,16.4,-,17.9,-,14.3,-,17.9,-,15.0,-,17.9,-,17.8,-,21.2,-,22.6,-,18.5,�,18.3
가구거리,하행,1,반구사거리,가구삼거리,45분,-,0.0,-,0.0,-,0.0,-,27.2,-,21.3,-,19.1,-,17.2,-,23.0,-,19.8,-,15.3,-,14.6,-,16.7,-,16.9,-,14.8,-,20.0,-,15.3,-,14.6,-,12.5,-,13.1,-,20.4,-,20.7,-,19.4,-,9.8,�,15.3
가구거리,평균,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,21.4,0.0,17.4,0.0,20.4,0.0,17.4,0.0,16.6,0.0,16.4,0.0,15.9,0.0,16.7,0.0,16.9,0.0,16.2,0.0,16.4,0.0,15.3,0.0,15.0,0.0,15.4,0.0,16.3,0.0,19.5,0.0,17.3,0.0,20.9,0.0,24.3,.0,15.2
강남로,상행,1,태화R,번영교남교차로,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,1,태화R,번영교남교차로,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,1,태화R,번영교남교차로,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,1,태화R,번영교남교차로,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,2,번영교남교차로,학성교남교차로,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,2,번영교남교차로,학성교남교차로,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,2,번영교남교차로,학성교남교차로,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,2,번영교남교차로,학성교남교차로,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,상행,3,학성교남교차로,명촌교남단,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,36.5,-,35.4,-,20.1,-,13.9,-,0.0,-,30.1,-,32.6,-,25.1,-,30.9,-,0.0,-,0.0,-,0.0,-,30.1,-,20.8,-,0.0,-,0.0,-,0.0,�,12.0
강남로,상행,3,학성교남교차로,명촌교남단,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,28.7,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,1.2
강남로,상행,3,학성교남교차로,명촌교남단,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,25.6,-,35.4,-,27.4,-,36.5,-,23.6,-,18.0,-,28.7,-,30.1,-,34.4,-,0.0,-,9.3,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,12.2
강남로,상행,3,학성교남교차로,명촌교남단,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,30.1,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,1.3
강남로,하행,1,명촌교남단,학성교남교차로,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,35.4,-,37.7,-,0.0,-,0.0,-,16.5,-,10.1,-,25.6,-,15.7,-,0.0,-,11.1,-,0.0,-,18.3,-,0.0,-,12.8,-,0.0,-,0.0,-,0.0,�,8.0
강남로,하행,1,명촌교남단,학성교남교차로,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,9.8,-,0.0,-,22.7,-,35.4,-,16.3,-,0.0,-,0.0,-,9.3,-,15.9,-,0.0,-,16.7,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,5.5
강남로,하행,1,명촌교남단,학성교남교차로,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,10.8,-,16.7,-,15.1,-,27.4,-,13.9,-,16.3,-,0.0,-,13.2,-,35.4,-,0.0,-,17.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,7.5
강남로,하행,1,명촌교남단,학성교남교차로,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,5.4,-,9.8,-,18.0,-,0.0,-,0.0,-,0.0,-,0.0,-,11.8,-,0.0,-,30.1,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,3.3
강남로,하행,2,학성교남교차로,번영교남교차로,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,2,학성교남교차로,번영교남교차로,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,2,학성교남교차로,번영교남교차로,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,2,학성교남교차로,번영교남교차로,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,3,번영교남교차로,태화R,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,3,번영교남교차로,태화R,15분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,3,번영교남교차로,태화R,30분,-,0.0,-,-,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,하행,3,번영교남교차로,태화R,45분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,�,.0
강남로,평균,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,5.4,0.0,4.4,0.0,4.2,0.0,3.5,0.0,3.0,0.0,4.3,0.0,3.8,0.0,3.9,0.0,5.6,0.0,1.1,0.0,1.5,0.0,1.3,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,.0,2.1
강북로,상행,1,태화교사거리,번영교북교차로,00분,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,38.6,-,37.0,-,42.6,-,39.1,-,36.5,-,42.2,-,35.5,-,33.6,-,28.6,-,34.7,-,40.9,-,27.6,-,39.5,-,45.3,-,39.5,-,45.3,-,46.8,-,46.4,�,30.4
